T_1,GLC_1,DEV_1,ACE_1,DEV_1,BIOMASS_1,DEV_1
0,12.65973333,0,0.958577778,0,0.06308,0
0.75,11.9168,0,1.217777778,0,0.10374,0
1.25,11.98266667,0,1.456044444,0,0.1406,0
1.58,11.24826667,0,1.613644444,0,0.17138,0
1.92,10.53893333,0,1.841955556,0,0.21888,0
2.25,10.0416,0,2.094355556,0,0.26828,0
2.58,9.097066667,0,2.340622222,0,0.3268,0
2.92,7.841066667,0,2.542577778,0,0.38228,0
3.25,6.578133333,0,2.870711111,0,0.5016,0
3.58,5.305066667,0,3.210311111,0,0.6384,0
3.92,3.439466667,0,3.452355556,0,0.7486,0
4.25,1.420533333,0,3.825333333,0,0.912,0
4.58,0,0,4.125333333,0,1.012,0
