T_1,OD_1,DEV_1,T_2,OD_2,DEV_2,T_3,OD_3,DEV_3,T_4,OD_4,DEV_4,T_5,OD_5,DEV_5,T_6,OD_6,DEV_6,T_7,OD_7,DEV_7,T_8,OD_8,DEV_8,T_9,OD_9,DEV_9,T_10,OD_10,DEV_10,T_11,OD_11,DEV_11,T_12,OD_12,DEV_12,T_13,OD_13,DEV_13,T_14,OD_14,DEV_14,T_15,OD_15,DEV_15,T_16,OD_16,DEV_16,T_17,OD_17,DEV_17,T_18,OD_18,DEV_18,T_19,OD_19,DEV_19,T_20,OD_20,DEV_20
0.322222222,-2.47693848,0,0.322222222,-2.449554375,0.006674644,0.322222222,-2.461205343,0.006752712,0.322222222,-2.453453055,0.011628497,0.322222222,-2.457306663,0.006752712,0.322222222,-2.457306663,0.006752712,0.322222222,-2.461205343,0.006752712,0.322222222,-2.461205343,0.006752712,0.322222222,-2.44574481,0.013273005,0.322222222,-2.457306663,0.006752712,0.322222222,-2.47693848,0,0.322222222,-2.449554375,0.006674644,0.322222222,-2.441891203,0.011494822,0.322222222,-2.465104022,0,0.322222222,-2.453407983,0,0.322222222,-2.457306663,0.006752712,0.322222222,-2.469048842,0.006832627,0.322222222,-2.457306663,0.006752712,0.322222222,-2.445700768,0.006674644,0.322222222,-2.465104022,0
1.567836257,-2.472993661,0.006832627,1.567836257,-2.441891203,0.011494822,1.567836257,-2.449554375,0.006674644,1.567836257,-2.434271077,0.013122162,1.567836257,-2.453407983,0,1.567836257,-2.453407983,0,1.567836257,-2.461205343,0.006752712,1.567836257,-2.461205343,0.006752712,1.567836257,-2.438124684,0.017444992,1.567836257,-2.457306663,0.006752712,1.567836257,-2.47693848,0,1.567836257,-2.43422803,0.006598361,1.567836257,-2.426651946,0.006523801,1.567836257,-2.465104022,0,1.567836257,-2.449554375,0.006674644,1.567836257,-2.445700768,0.006674644,1.567836257,-2.469048842,0.006832627,1.567836257,-2.411670042,0.006450908,1.567836257,-2.422885428,0.006523801,1.567836257,-2.457306663,0.006752712
2.813450292,-2.44184716,0,2.813450292,-2.422885428,0.006523801,2.813450292,-2.415394476,0.006450908,2.813450292,-2.354026158,0.021056132,2.813450292,-2.326241343,0.011783068,2.813450292,-2.422885428,0.006523801,2.813450292,-2.438037595,0.006598361,2.813450292,-2.434271077,0.013122162,2.813450292,-2.411834692,0.02310378,2.813450292,-2.445700768,0.006674644,2.813450292,-2.461205343,0.006752712,2.813450292,-2.339988996,0.012028566,2.813450292,-2.393332389,0.016682817,2.813450292,-2.426651946,0.006523801,2.813450292,-2.296017552,0.015211256,2.813450292,-2.289383341,0.011433052,2.813450292,-2.329695606,0.015656758,2.813450292,-2.253794929,0,2.813450292,-2.090435147,0.028463451,2.813450292,-2.40434374,0.016867048
4.059064327,-2.336498563,0.005982958,4.059064327,-2.257014982,0.01099748,4.059064327,-2.244316185,0,4.059064327,-1.959214851,0.025702871,4.059064327,-1.698518057,0.027330057,4.059064327,-2.279658588,0.020434202,4.059064327,-2.378759425,0.006241685,4.059064327,-2.231969094,0.021385788,4.059064327,-2.312771497,0.020205113,4.059064327,-2.378759425,0.006241685,4.059064327,-2.316053565,0.011664039,4.059064327,-1.676675158,0.009237801,4.059064327,-2.164440173,0.069691831,4.059064327,-2.305935205,0.005802564,4.059064327,-1.689304505,0.017487181,4.059064327,-1.555987571,0.016496844,4.059064327,-2.055806405,0.015626431,4.059064327,-1.705787581,0.02486126,4.059064327,-1.02356271,0.013192478,4.059064327,-2.340024425,0.015818911
5.304678363,-2.053130968,0.004493021,5.304678363,-1.594557389,0.004926153,5.304678363,-1.591321589,0.012372123,5.304678363,-1.421185065,0.054707947,5.304678363,-0.818227986,0.028548975,5.304678363,-1.780021596,0.023897108,5.304678363,-2.231825647,0.005370739,5.304678363,-1.838864262,0.006289401,5.304678363,-2.17158248,0.008772183,5.304678363,-2.055725015,0,5.304678363,-2.027507354,0.008747899,5.304678363,-0.826574245,0.028739653,5.304678363,-1.877416491,0.017221604,5.304678363,-1.93342415,0.017427423,5.304678363,-0.937353543,0.005308856,5.304678363,-0.878936245,0.028130583,5.304678363,-1.693326743,0.038916978,5.304678363,-1.01721316,0.023345457,5.304678363,-0.441641911,0.009692271,5.304678363,-2.299432383,0.022868347
6.550292398,-1.124018937,0.016347462,6.550292398,-0.694269181,0.036829456,6.550292398,-0.747486567,0.05297295,6.550292398,-0.585470986,0.079522097,6.550292398,-0.098930404,0.02531556,6.550292398,-1.216554144,0.104882861,6.550292398,-1.822222934,0.003574936,6.550292398,-1.3280302,0.003773605,6.550292398,-1.689642375,0.036437847,6.550292398,-1.599495751,0.004950541,6.550292398,-1.888304262,0.01007827,6.550292398,-0.311288679,0.025933488,6.550292398,-1.609655692,0.075276203,6.550292398,-1.487455307,0.026555693,6.550292398,-0.575164843,0.017042671,6.550292398,-0.497410247,0.03373794,6.550292398,-1.038588729,0.019776911,6.550292398,-0.723139951,0.02579051,6.550292398,-0.37935757,0.011940113,6.550292398,-2.283162124,0.03364157
7.795906433,-0.458407575,0.014402903,7.795906433,-0.048695648,0.052037138,7.795906433,-0.130016697,0.029298601,7.795906433,-0.049038337,0.061546196,7.795906433,0.120695314,0.011778136,7.795906433,-0.689908776,0.111222531,7.795906433,-1.511118008,0.006929909,7.795906433,-0.821756279,0.007325237,7.795906433,-1.366881455,0.034308128,7.795906433,-1.080026344,0.026539224,7.795906433,-1.768092363,0.012165827,7.795906433,-0.073765261,0.018878203,7.795906433,-1.188528517,0.173657299,7.795906433,-1.00916404,0.034325648,7.795906433,-0.469106684,0.022479035,7.795906433,-0.430311615,0.040848659,7.795906433,-0.816635065,0.023808833,7.795906433,-0.587898199,0.030629102,7.795906433,-0.419627851,0.013853141,7.795906433,-2.191588031,0.12477143
9.041520468,0.080632064,0.008806453,9.041520468,0.11277483,0.040797883,9.041520468,0.057320311,0.003777168,9.041520468,0.147735534,0.018127864,9.041520468,0.212663662,0.008729819,9.041520468,-0.052039359,0.134622531,9.041520468,-0.929975503,0.057732195,9.041520468,-0.200899411,0.004404064,9.041520468,-0.894655813,0.043150508,9.041520468,-0.417745632,0.024937492,9.041520468,-1.526395567,0.014735624,9.041520468,0.053851781,0.003831336,9.041520468,-0.646244347,0.107034064,9.041520468,-0.451746093,0.026711684,9.041520468,-0.490066354,0.019886771,9.041520468,-0.468386124,0.039284816,9.041520468,-0.545911247,0.010088798,9.041520468,-0.529754541,0.035701406,9.041520468,-0.453660518,0.01286426,9.041520468,-1.803851608,0.229644976
10.2871345,0.275351049,0.004013946,10.2871345,0.235533926,0.064395917,10.2871345,0.181653658,0.044616159,10.2871345,0.214202991,0.017449776,10.2871345,0.255155608,0.003134131,10.2871345,0.081431952,0.021051741,10.2871345,-0.347089131,0.082754205,10.2871345,0.100119333,0.009099343,10.2871345,-0.398922594,0.053033416,10.2871345,0.040058755,0.019247941,10.2871345,-1.118983555,0.022448508,10.2871345,0.090432017,0.007323991,10.2871345,-0.285616585,0.055838313,10.2871345,-0.148945056,0.013234061,10.2871345,-0.523872528,0.023680319,10.2871345,-0.494270676,0.039615106,10.2871345,-0.470539099,0.002446282,10.2871345,-0.563724079,0.036089241,10.2871345,-0.472757856,0.015897769,10.2871345,-1.224803729,0.253772136
11.53274854,0.270017602,0.005351056,11.53274854,0.25266775,0.106408816,11.53274854,0.186897108,0.083336033,11.53274854,0.301659253,0.035487593,11.53274854,0.262873535,0.003203142,11.53274854,0.132057539,0.020432472,11.53274854,0.063683884,0.059520475,11.53274854,0.179239393,0.008107588,11.53274854,-0.058046608,0.048248831,11.53274854,0.207389311,0.022357908,11.53274854,-0.607699127,0.01878095,11.53274854,0.108519505,0.010368137,11.53274854,-0.1378804,0.052644411,11.53274854,0.017810542,0.009396032,11.53274854,-0.542573519,0.020687109,11.53274854,-0.509110522,0.039036092,11.53274854,-0.516396981,0.000967897,11.53274854,-0.589821454,0.0360578,11.53274854,-0.486228825,0.016982115,11.53274854,-0.844189863,0.137445378
